contact_id,date_souscription,formation_achete_transaction_gagne
100167913669,2024-11-22 16:41:00,False
100214647001,2025-01-29 10:50:00,False
1003,2025-01-17 14:55:00,False
1004,2024-07-15 10:42:00,False
100720228574,2025-03-07 14:42:00,False
101530181878,2025-01-15 16:21:00,False
10166590169,2024-07-19 09:30:00,False
102377837790,2025-01-21 13:01:00,False
10287665363,2024-06-21 14:27:00,False
10296037111,2024-06-28 10:59:00,False
10304352502,2024-06-21 16:00:00,False
1030851,2024-09-05 13:19:00,False
10364698081,2024-12-23 14:34:00,False
10440074944,2024-11-30 16:57:00,False
10441166034,2024-06-17 11:15:00,False
10442106853,2024-12-10 13:44:00,False
104909008060,2025-01-02 14:41:00,False
10500858584,2024-10-22 13:42:00,False
10527243477,2025-02-04 09:47:00,False
105331805427,2025-01-09 16:19:00,False
1057801,2024-11-05 16:16:00,False
1067,2025-02-04 16:10:00,False
107247123648,2024-12-23 14:26:00,False
10727911666,2024-07-03 13:24:00,False
10812487384,2024-06-12 11:39:00,False
1081651,2025-03-26 14:44:00,False
1081653,2024-12-20 16:07:00,False
1081701,2025-03-31 16:14:00,False
1081712,2024-08-26 11:59:00,False
1081753,2024-12-23 14:33:00,False
1081770,2025-03-17 15:19:00,False
1081771,2024-07-25 09:36:00,False
1081772,2024-06-18 14:37:00,False
1081806,2024-07-02 09:18:00,False
1081909,2024-07-05 10:02:00,False
1081952,2025-01-24 16:19:00,False
1082003,2025-03-28 15:53:00,False
1082107,2025-03-17 15:21:00,False
1082151,2025-02-17 16:37:00,False
108222530771,2024-12-21 14:35:00,False
10845966795,2024-07-11 09:57:00,False
10861585369,2024-12-23 14:24:00,False
1087,2024-07-03 16:44:00,False
10875471348,2024-10-25 14:10:00,False
1089,2024-06-17 12:23:00,False
1090,2025-03-20 15:59:00,False
109257849053,2025-01-10 14:58:00,False
10959980783,2024-06-17 12:22:00,False
110171330778,2025-02-11 16:14:00,False
11017564358,2024-06-17 11:49:00,False
110407023812,2025-01-29 15:12:00,False
110489644220,2025-02-20 15:49:00,False
110967156925,2025-01-28 14:18:00,False
111128270022,2024-12-10 13:46:00,False
111128277236,2024-12-11 12:54:00,False
1113151,2024-09-30 15:30:00,False
111333942482,2025-02-27 12:16:00,False
1113454,2024-12-19 11:16:00,False
1113487,2024-08-23 14:49:00,False
111429512393,2025-01-24 12:49:00,False
111461679294,2024-12-16 13:10:00,False
111472173243,2024-12-27 16:06:00,False
11179052793,2025-01-31 10:37:00,True
11193069294,2024-08-02 14:07:00,False
111955838179,2025-01-11 11:42:00,False
112109754580,2025-01-09 16:04:00,False
112319395065,2024-12-09 17:20:00,False
112888960224,2025-02-19 09:45:00,False
113638259906,2024-12-23 14:28:00,False
113755826414,2025-01-24 15:41:00,False
113772251356,2025-01-09 16:59:00,False
113854249152,2025-01-06 14:31:00,False
114422797555,2024-12-18 17:39:00,False
11504885228,2024-09-21 10:27:00,False
11505304811,2024-12-14 14:14:00,False
115883576540,2025-01-24 12:53:00,False
115949959380,2025-01-02 11:59:00,False
116031901931,2024-12-05 10:16:00,False
116041948395,2024-12-09 17:02:00,False
1160651,2025-01-09 16:41:00,False
116119015622,2025-01-06 10:06:00,False
116299034860,2025-02-04 11:31:00,False
116299037923,2024-12-13 11:15:00,False
11658097633,2024-11-26 13:21:00,True
11669744626,2024-07-08 10:17:00,False
1170,2024-12-12 15:17:00,False
11707152613,2024-07-26 15:37:00,False
117094363331,2024-12-24 10:20:00,False
1171,2024-10-29 15:09:00,False
117114367215,2024-12-27 16:04:00,False
117256392934,2025-01-15 14:49:00,False
117380702428,2025-02-19 10:18:00,False
1176,2024-12-12 15:17:00,False
1179411,2024-08-28 11:18:00,False
1180,2025-02-04 16:40:00,False
118208427225,2025-02-17 16:34:00,False
1182901,2024-12-23 14:23:00,False
1184,2024-09-18 12:01:00,False
118485424336,2025-02-26 16:22:00,False
118627195121,2025-01-24 12:56:00,False
118651230444,2024-12-12 14:35:00,False
1199,2024-11-19 12:36:00,False
120216111338,2025-01-23 16:41:00,False
12060159190,2024-06-24 16:32:00,False
120850475233,2025-01-02 16:10:00,False
121010516207,2024-12-18 16:03:00,False
121251,2024-07-19 09:31:00,False
121291005132,2025-02-22 14:41:00,True
121779094761,2025-01-15 15:34:00,False
1226551,2024-10-03 09:12:00,False
1236351,2025-01-24 15:59:00,False
123699430587,2024-12-16 13:18:00,False
123699445953,2024-12-23 14:24:00,False
123699453124,2024-12-16 14:54:00,False
123699460335,2024-12-16 14:56:00,False
